id;self_assessed_level_speed;self_assessed_level_groove;self_assessed_level_creativity;self_assessed_level_adaptability;self_assessed_level_dynamics;self_assessed_level_independence;self_assessed_level_live_performance;self_assessed_level_reading_music;note;create_date;modify_date
1;2;4;10;8;0;10;10;6;success;2019-10-30T20:34:12;2019-10-30T08:56:49
2;10;10;10;0;2;6;7;10;Central African Republic;2019-10-30T06:30:22;2019-10-30T16:24:30
3;7;3;4;10;6;7;6;4;protocol Product Usability;2019-10-30T20:13:22;2019-10-30T00:14:44
4;4;5;1;6;3;3;1;2;Junctions one-to-one;2019-10-30T07:36:14;2019-10-30T15:13:45
5;0;3;10;2;10;4;7;0;dynamic schemas;2019-10-30T07:08:42;2019-10-30T05:10:42
6;2;1;1;10;0;9;10;10;hard drive Personal Loan Account;2019-10-30T11:34:26;2019-10-30T19:37:32
7;10;9;9;6;0;1;0;4;transmit Ways;2019-10-29T21:57:54;2019-10-30T18:00:06
8;4;6;8;4;4;10;9;9;bypassing Bypass;2019-10-30T11:39:22;2019-10-30T18:23:57
9;3;0;0;0;9;7;8;5;parse Customer Rhode Island;2019-10-30T04:11:06;2019-10-29T22:56:15
10;8;9;4;2;2;4;2;1;Response;2019-10-30T07:03:49;2019-10-30T16:38:18
