id;practice_bpm;target_bpm;minutes;note;create_date;modify_date
1;317;95;170;cross-media;2019-10-30T04:11:19;2019-10-30T01:17:31
2;449;429;444;optical invoice;2019-10-30T19:35:32;2019-10-29T23:09:23
3;81;393;450;Home Loan Account Tools Unbranded;2019-10-30T05:41:15;2019-10-29T22:14:38
4;3;142;81;Latvia;2019-10-30T05:00:22;2019-10-30T10:50:58
5;326;498;113;driver;2019-10-30T15:55:03;2019-10-30T09:45:29
6;163;90;374;payment calculating;2019-10-30T05:49:44;2019-10-30T14:13:05
7;285;272;47;turn-key dedicated;2019-10-30T15:45:21;2019-10-30T07:27:17
8;487;490;197;Human withdrawal;2019-10-30T02:32:10;2019-10-30T13:12:35
9;252;323;289;Cambridgeshire white sensor;2019-10-30T14:52:23;2019-10-30T07:53:01
10;13;385;323;Chips;2019-10-29T23:02:27;2019-10-30T10:19:59
