id;practice_bpm;target_bpm;minutes;note;create_date;modify_date
1;317;95;170;cross-media;2019-11-01T22:29:59;2019-11-01T19:36:10
2;449;429;444;optical invoice;2019-11-02T13:54:11;2019-11-01T17:28:03
3;81;393;450;Home Loan Account Tools Unbranded;2019-11-01T23:59:55;2019-11-01T16:33:17
4;3;142;81;Latvia;2019-11-01T23:19:02;2019-11-02T05:09:38
5;326;498;113;driver;2019-11-02T10:13:43;2019-11-02T04:04:09
6;163;90;374;payment calculating;2019-11-02T00:08:24;2019-11-02T08:31:45
7;285;272;47;turn-key dedicated;2019-11-02T10:04:00;2019-11-02T01:45:57
8;487;490;197;Human withdrawal;2019-11-01T20:50:50;2019-11-02T07:31:15
9;252;323;289;Cambridgeshire white sensor;2019-11-02T09:11:02;2019-11-02T02:11:40
10;13;385;323;Chips;2019-11-01T17:21:06;2019-11-02T04:38:38
