id;actual_bpm;actual_minutes;create_date;modify_date
1;189;425;2019-10-30T19:36:27;2019-10-30T10:03:06
2;389;227;2019-10-30T08:12:36;2019-10-30T04:41:23
3;213;150;2019-10-29T23:51:34;2019-10-30T13:41:08
4;56;261;2019-10-30T09:47:19;2019-10-30T15:31:24
5;6;244;2019-10-30T10:21:50;2019-10-30T07:53:47
6;29;445;2019-10-30T18:45:36;2019-10-30T03:11:57
7;59;494;2019-10-30T06:01:51;2019-10-30T03:45:03
8;374;409;2019-10-30T07:36:39;2019-10-30T15:54:41
9;482;241;2019-10-30T12:36:53;2019-10-30T10:08:48
10;143;50;2019-10-30T00:45:56;2019-10-30T08:55:51
