id;actual_bpm;actual_minutes;create_date;modify_date
1;189;425;2019-11-02T13:55:07;2019-11-02T04:21:46
2;389;227;2019-11-02T02:31:16;2019-11-01T23:00:03
3;213;150;2019-11-01T18:10:13;2019-11-02T07:59:48
4;56;261;2019-11-02T04:05:59;2019-11-02T09:50:03
5;6;244;2019-11-02T04:40:29;2019-11-02T02:12:26
6;29;445;2019-11-02T13:04:15;2019-11-01T21:30:36
7;59;494;2019-11-02T00:20:30;2019-11-01T22:03:42
8;374;409;2019-11-02T01:55:19;2019-11-02T10:13:21
9;482;241;2019-11-02T06:55:33;2019-11-02T04:27:27
10;143;50;2019-11-01T19:04:35;2019-11-02T03:14:31
