id;minutes_total;note;create_date;modify_date
1;538;streamline;2019-11-02T15:39:45;2019-11-01T16:55:04
2;544;Fantastic time-frame Quality;2019-11-01T17:06:30;2019-11-02T04:20:32
3;345;deposit Common;2019-11-02T08:53:08;2019-11-02T01:27:51
4;198;Danish Krone parse;2019-11-01T20:55:29;2019-11-01T21:10:18
5;474;Unbranded;2019-11-02T04:03:24;2019-11-01T16:32:27
6;35;Austria mindshare EXE;2019-11-02T07:30:02;2019-11-01T22:58:58
7;71;Metal program Auto Loan Account;2019-11-02T13:29:44;2019-11-01T19:47:57
8;51;Algerian Dinar Fantastic Fresh Salad;2019-11-01T22:58:22;2019-11-02T12:24:15
9;49;Intelligent Planner;2019-11-02T06:56:24;2019-11-01T19:12:27
10;223;open-source Interactions Planner;2019-11-01T21:50:30;2019-11-02T07:31:03
