id;locale;text_key;text_content;create_date;modify_date
1;mobil;Home Loan Account Table Computer;Trace;2019-11-02T07:54:49;2019-11-02T01:29:45
2;alarm;Tasty Metal Bacon;red Chips Soap;2019-11-02T08:37:14;2019-11-02T01:14:34
3;Groce;Investment Account Steel;Coordinator;2019-11-02T10:20:09;2019-11-02T04:58:37
4;bluet;syndicate;Mississippi Refined Rubber Chicken Table;2019-11-02T14:21:40;2019-11-02T15:36:15
5;Usabi;Intelligent;Monitored Bahamian Dollar Investment Account;2019-11-01T19:55:33;2019-11-02T15:05:49
6;Regio;Tuna;hardware Costa Rica Mayotte;2019-11-02T11:29:09;2019-11-02T15:10:15
7;synth;Credit Card Account National Awesome;Aruba;2019-11-01T16:51:16;2019-11-02T08:06:52
8;scale;Specialist Home Loan Account;Plastic;2019-11-01T20:40:12;2019-11-02T11:57:22
9;Indus;index orange;Jewelery;2019-11-02T11:09:01;2019-11-01T22:57:29
10;appli;Internal;Investment Account archive Fantastic Plastic Chicken;2019-11-02T08:07:05;2019-11-01T23:56:26
