id;plan_name;plan_focus;description;minutes_per_session;sessions_per_week;target_date;active;create_date;modify_date
1;New York tangible Mississippi;Frozen bus;hard drive Robust Networked;4043;52273;2019-10-30T04:33:21;false;2019-10-30T18:57:00;2019-10-30T21:00:05
2;Intelligent Outdoors;Harbor Montana;Corporate Phased relationships;75555;20306;2019-10-30T16:07:13;true;2019-10-30T19:45:50;2019-10-30T07:14:20
3;Chilean Peso Unidades de fomento;Web virtual deposit;Squares mint green e-business;88328;53934;2019-10-30T13:49:38;true;2019-10-30T18:40:53;2019-10-30T00:06:20
4;support Gorgeous;withdrawal;copying;86073;30478;2019-10-30T21:26:41;false;2019-10-30T09:21:13;2019-10-30T08:47:36
5;Bedfordshire Bahamian Dollar;24/7;Gloves sky blue Oklahoma;40383;36362;2019-10-30T20:03:15;true;2019-10-30T15:31:03;2019-10-29T22:30:47
6;Quality-focused;card Plastic;Computers Personal Loan Account Berkshire;5147;3305;2019-10-30T14:55:26;false;2019-10-29T23:48:48;2019-10-30T06:23:14
7;Canadian Dollar;Berkshire Designer;Credit Card Account;8085;76161;2019-10-30T12:44:23;false;2019-10-30T15:47:59;2019-10-30T04:08:04
8;web-enabled invoice withdrawal;bypassing optical;installation;18651;69581;2019-10-30T20:37:58;true;2019-10-30T07:25:49;2019-10-30T13:47:19
9;red firewall open-source;deposit Sausages;disintermediate Cambridgeshire hacking;67569;34106;2019-10-30T03:57:59;false;2019-10-30T16:35:38;2019-10-29T23:25:09
10;SMS Enhanced;Bacon Designer;Equatorial Guinea Vision-oriented;9310;96541;2019-10-30T00:04:43;true;2019-10-30T00:00:06;2019-10-30T00:25:42
